[INFO] [launch]: All log files can be found below /home/pi5drone/.ros/log/2026-08-02-21-05-06-974533-pi5drone-desktop-15325
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [submap_slam_2d_node-1]: process started with pid [15352]
[submap_slam_2d_node-1] [WARN] [1785680838.372528583] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680843.665331247] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680848.706948873] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680853.731937241] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680858.743559960] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680863.939269864] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680869.050436269] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680874.103410951] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680879.219235337] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680884.248439760] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680889.297035997] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680894.311905420] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680899.333029121] [submap_slam_2d]: Rejected scan: coarse_match_failed
[submap_slam_2d_node-1] [WARN] [1785680904.376870970] [submap_slam_2d]: Rejected scan: low_match_score
[submap_slam_2d_node-1] [WARN] [1785680909.428833208] [submap_slam_2d]: Rejected scan: low_match_score
[submap_slam_2d_node-1] [WARN] [1785680914.436417279] [submap_slam_2d]: Rejected scan: low_match_score
[submap_slam_2d_node-1] [WARN] [1785680919.671345331] [submap_slam_2d]: Rejected scan: low_match_score
[submap_slam_2d_node-1] [WARN] [1785680924.691174106] [submap_slam_2d]: Rejected scan: low_match_score
[submap_slam_2d_node-1] [WARN] [1785680929.728593955] [submap_slam_2d]: Rejected scan: low_match_score
[submap_slam_2d_node-1] [WARN] [1785680934.738377341] [submap_slam_2d]: Rejected scan: low_match_score
[submap_slam_2d_node-1] [WARN] [1785680939.748272893] [submap_slam_2d]: Rejected scan: low_match_score
[submap_slam_2d_node-1] [WARN] [1785680944.793993631] [submap_slam_2d]: Rejected scan: low_match_score
[submap_slam_2d_node-1] [WARN] [1785680949.841473554] [submap_slam_2d]: Rejected scan: low_match_score
[submap_slam_2d_node-1] [WARN] [1785680954.921098143] [submap_slam_2d]: Rejected scan: low_match_score
